SR#,Model,Name,Odometer,VIN,BidType,Ammount,BuyerName,Address,Phone No.
126,2013,INFINITI G37 4X2 JOURNEY,23696,JN1CV6EKXDM923857,,,,,
,,,,,Bid,"$24,250 ",CARSMITH MOTORS,"48995 Milmont Dr Fremont, CA 94538",(510) 770-9790
,,,,,Bid,"$24,500 ",INFINITI OF OAKLAND,"2801 Broadway, Oakland, CA 94611, United States",855-314-9838
,,,,,Bid,"$23,750 ","AUSTIN EAUTOS, INC.","16809 Calply Dr Round Rock, TX 78664",(512) 252-1777
,,,,,SOLD,"$25,250 ",KARMART CHRYSLER JEEP DODGE,"660 Auto Blvd Burlington, WA 98233",(360) 757-2273
127,2014,INFINITI Q50 4X2 V6,16246,JN1BV7AP4EM682382,,,,,
,,,,,Bid,"$23,750 ","AUSTIN EAUTOS, INC.","16809 Calply Dr Round Rock, TX 78664",(512) 252-1777
,,,,,Bid,"$23,500 ",AUTOFLEX LEASING,"558 South Central Expressway, Richardson, Texas 75080",972-234-1234
,,,,,SOLD,"$23,500 ",AUTOFLEX LEASING,"558 South Central Expressway, Richardson, Texas 75080",972-234-1234
128,2013,INFINITI JX35 AWD,46524,5N1AL0MM7DC313040,,,,,
,,,,,SOLD,"$26,500 ",CARMAX # 7129,"6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667
129,2013,INFINITI G37 4X2 JOURNEY,18038,JN1CV6APXDM710361,,,,,
,,,,,SOLD,"$21,000 ",METRO INFINITI INC,"821 E Central Ave Monrovia, CA 91016",(626) 303-1000
130,2014,INFINITI Q50 4X2 V6 PREMIUM,23508,JN1BV7AP2EM683756,,,,,
,,,,,Bid,"$24,000 ",SC CAR ZONE,"2901 Harbor Blvd Costa Mesa, CA 92626",(866) 656-7198
,,,,,Bid,"$23,750 ",ST CLAIRE CADILLAC/ ST CLAIRE OLDSMOBILE,"3737 Stevens Creek Blvd, Santa Clara, CA 95051, United States",844-283-1827
,,,,,SOLD,"$24,000 ",SC CAR ZONE,"2901 Harbor Blvd Costa Mesa, CA 92626",(866) 656-7198
131,2013,INFINITI FX37 AWD,57748,JN8CS1MW9DM170954,,,,,
,,,,,SOLD,"$24,000 ",FRONTIER INFINITI,"4355 Stevens Creek Blvd Santa Clara, CA 95051",(408) 243-4355
132,2014,INFINITI Q50 4X2 V6 PREMIUM,25820,JN1BV7AP3EM676654,,,,,
,,,,,Bid,"$18,750 ",620 MOTORSPORTS,NA,NA
,,,,,SOLD,"$20,250 ",FRONTIER INFINITI,"4355 Stevens Creek Blvd Santa Clara, CA 95051",(408) 243-4355
133,2013,INFINITI G37 4X2 JOURNEY,15800,JN1CV6AP7DM715226,,,,,
,,,,,Bid,"$19,250 ",DONOHOO AUTO LLC,"8122 Helena Rd, Pelham, AL 35124, United States",205-444-9333
134,2013,INFINITI JX35 FWD,45633,5N1AL0MN7DC327156,,,,,
,,,,,SOLD,"$26,000 ",CARMAX # 7129,"6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667
135,2013,INFINITI G37 4X2 IPL,24752,JN1CV6FE0DM230174,,,,,
,,,,,Bid,"$29,250 ",INFINITI OF OAKLAND,"2801 Broadway, Oakland, CA 94611, United States",855-314-9838
,,,,,Bid,"$31,250 ",INFINITI OF GWINNETT,"3090 Satellite Blvd Duluth, GA 30096",(678) 534-7471
,,,,,Bid,"$31,000 ",CREST INFINITI,"2501 N Central Expy Plano, TX 75075",(469) 808-1880
,,,,,SOLD,"$31,250 ",INFINITI OF GWINNETT,"3090 Satellite Blvd Duluth, GA 30096",(678) 534-7471
136,2014,INFINITI Q50 4X2 V6,43417,JN1BV7AP9EM672415,,,,,
,,,,,Bid,"$20,500 ",ALM MALL OF GEORGIA,"4228 Buford Drive, Buford, GA 30518",888-800-1281
,,,,,SOLD,"$20,500 ",ALM MALL OF GEORGIA,"4228 Buford Drive, Buford, GA 30518",888-800-1281
137,2014,INFINITI Q50 4X2 V6,12220,JN1BV7AP3EM683166,,,,,
,,,,,Bid,"$24,250 ","AUSTIN EAUTOS, INC.","16809 Calply Dr Round Rock, TX 78664",(512) 252-1777
,,,,,SOLD,"$24,250 ","AUSTIN EAUTOS, INC.","16809 Calply Dr Round Rock, TX 78664",(512) 252-1777
138,2013,INFINITI G37 4X2 JOURNEY,19914,JN1CV6AP5DM304326,,,,,
,,,,,Bid,"$19,250 ",620 MOTORSPORTS,NA,NA
,,,,,Bid,"$20,250 ",SC CAR ZONE,"2901 Harbor Blvd Costa Mesa, CA 92626",(866) 656-7198
,,,,,Bid,"$20,500 ",INFINITI OF OAKLAND,"2801 Broadway, Oakland, CA 94611, United States",855-314-9838
,,,,,SOLD,"$21,250 ",FRONTIER INFINITI,"4355 Stevens Creek Blvd Santa Clara, CA 95051",(408) 243-4355
139,2013,INFINITI G37 AWD X,33245,JN1CV6AR8DM758572,,,,,
,,,,,Bid,"$19,250 ",620 MOTORSPORTS,NA,NA
,,,,,SOLD,"$19,500 ",INFINITI OF BEVERLY HILLS,"8825 Wilshire Blvd, Beverly Hills, CA 90211, United States",844-411-0560
140,2014,INFINITI Q50 4X2 V6,21231,JN1BV7AP1EM685496,,,,,
,,,,,Bid,"$20,250 ",CADILLAC OF LAS VEGAS WEST,"5185 W. Sahara Ave Las Vegas, NV 89146",(855) 935-0799
,,,,,Bid,"$20,000 ",INFINITI OF GWINNETT,"3090 Satellite Blvd Duluth, GA 30096",(678) 534-7471
,,,,,SOLD,"$20,250 ",CADILLAC OF LAS VEGAS WEST,"5185 W. Sahara Ave Las Vegas, NV 89146",(855) 935-0799
141,2013,INFINITI G37 4X2 BASE,22220,JN1CV6FE0DM771516,,,,,
,,,,,Bid,"$26,500 ",CAMPBELL NELSON NISSAN INC,"24325 Hwy 99 Edmonds, WA 98026",(425) 774-2174
,,,,,SOLD,"$26,500 ",CAMPBELL NELSON NISSAN INC,"24325 Hwy 99 Edmonds, WA 98026",(425) 774-2174
142,2013,INFINITI JX35 FWD,16693,5N1AL0MN9DC327076,,,,,
,,,,,Bid,"$31,250 ",AUTOFLEX LEASING,"558 South Central Expressway, Richardson, Texas 75080",972-234-1234
,,,,,SOLD,"$31,250 ",AUTOFLEX LEASING,"558 South Central Expressway, Richardson, Texas 75080",972-234-1234
143,2013,INFINITI M37 4X2,53988,JN1BY1AP4DM512557,,,,,
,,,,,Bid,"$21,000 ",ALM MALL OF GEORGIA,"4228 Buford Drive, Buford, GA 30518",888-800-1281
,,,,,SOLD,"$21,000 ",ALM MALL OF GEORGIA,"4228 Buford Drive, Buford, GA 30518",888-800-1281
144,2014,INFINITI Q50 4X2 V6,20467,JN1BV7APXEM683603,,,,,
,,,,,Bid,"$22,000 ",INFINITI OF GWINNETT,"3090 Satellite Blvd Duluth, GA 30096",(678) 534-7471
,,,,,SOLD,"$22,000 ",INFINITI OF GWINNETT,"3090 Satellite Blvd Duluth, GA 30096",(678) 534-7471
145,2012,INFINITI G37 4X2 BASE,55092,JN1CV6FE6CM202541,,,,,
,,,,,SOLD,"$21,500 ",INFINITI OF BEVERLY HILLS,"8825 Wilshire Blvd, Beverly Hills, CA 90211, United States",844-411-0560
146,2014,INFINITI Q50 4X2 V6,21358,JN1BV7AP7EM677712,,,,,
,,,,,Bid,"$22,750 ",NAPA NISSAN INC,"510 Soscol Ave Napa, CA 94559",(707) 253-1551
,,,,,SOLD,"$23,000 ",ALLIANCE AUTOMOTIVE MARKETING,NA,NA
147,2013,INFINITI JX35 AWD,37094,5N1AL0MM9DC316053,,,,,
,,,,,Bid,"$29,750 ",BESHOFF INFINITI,"2198 Tully Rd San Jose, CA 95122",(888) 313-8049
,,,,,SOLD,"$29,750 ",BESHOFF INFINITI,"2198 Tully Rd San Jose, CA 95122",(888) 313-8049
148,2012,INFINITI G37 4X2 BASE,19827,JN1CV6FE8CM202380,,,,,
,,,,,Bid,"$25,500 ",CARSMITH MOTORS,"48995 Milmont Dr Fremont, CA 94538",(510) 770-9790
,,,,,Bid,"$25,750 ",INFINITI OF THOUSAND OAKS,"3570 Thousand Oaks Blvd THOUSAND OAKS, CA 91362",(805) 494-1200
,,,,,SOLD,"$26,750 ",INFINITI OF BEVERLY HILLS,"8825 Wilshire Blvd, Beverly Hills, CA 90211, United States",844-411-0560
149,2014,INFINITI Q50 4X2 V6 PREMIUM,27307,JN1AV7AP8EM690576,,,,,
,,,,,Bid,"$23,000 ",ALM MALL OF GEORGIA,"4228 Buford Drive, Buford, GA 30518",888-800-1281
,,,,,Bid,"$22,750 ",INFINITI OF THOUSAND OAKS,"3570 Thousand Oaks Blvd THOUSAND OAKS, CA 91362",(805) 494-1200
150,2013,INFINITI G37 4X2 JOURNEY,16093,JN1CV6AP2DM713514,,,,,
,,,,,Bid,"$21,500 ",INFINITI OF THOUSAND OAKS,"3570 Thousand Oaks Blvd THOUSAND OAKS, CA 91362",(805) 494-1200
,,,,,SOLD,"$21,250 ",LOTUS OF LAS VEGAS,NA,NA
151,2013,INFINITI FX37 4X2,38533,JN8CS1MU2DM140810,,,,,
,,,,,Bid,"$25,500 ",AUTONATION INFINITI SOUTH BAY,"3233 Pacific Coast Hwy Torrance, CA 90505",(424) 245-0985
,,,,,SOLD,"$27,250 ",INFINITI OF BEVERLY HILLS,"8825 Wilshire Blvd, Beverly Hills, CA 90211, United States",844-411-0560
152,2013,INFINITI G37 4X2 JOURNEY,19827,JN1CV6APXDM712532,,,,,
,,,,,Bid,"$20,750 ",INFINITI OF OAKLAND,"2801 Broadway, Oakland, CA 94611, United States",855-314-9838
,,,,,SOLD,"$20,750 ",INFINITI OF OAKLAND,"2801 Broadway, Oakland, CA 94611, United States",855-314-9838
153,2014,INFINITI Q50 4X2 V6 SPORT,30756,JN1AV7AP5EM691197,,,,,
,,,,,Bid,"$24,000 ",AUTONATION INFINITI SOUTH BAY,"3233 Pacific Coast Hwy Torrance, CA 90505",(424) 245-0985
,,,,,SOLD,"$27,000 ",INFINITI OF VAN NUYS,"5455 Van Nuys Blvd Van Nuys, CA 91401",(866) 554-4870
154,2013,INFINITI JX35 AWD,41015,5N1AL0MM3DC319269,,,,,
,,,,,SOLD,"$29,000 ",INFINITI OF VAN NUYS,"5455 Van Nuys Blvd Van Nuys, CA 91401",(866) 554-4870
155,2013,INFINITI G37 4X2 JOURNEY,26345,JN1CV6AP3DM711576,,,,,
,,,,,SOLD,"$18,500 ",CARMAX # 7129,"6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667
156,2014,INFINITI Q50 4X2 V6,17237,JN1BV7AP2EM684132,,,,,
,,,,,Bid,"$24,000 ",INFINITI OF THOUSAND OAKS,"3570 Thousand Oaks Blvd THOUSAND OAKS, CA 91362",(805) 494-1200
,,,,,Bid,"$23,750 ","AUSTIN EAUTOS, INC.","16809 Calply Dr Round Rock, TX 78664",(512) 252-1777
,,,,,SOLD,"$24,000 ",INFINITI OF THOUSAND OAKS,"3570 Thousand Oaks Blvd THOUSAND OAKS, CA 91362",(805) 494-1200
157,2013,INFINITI G37 4X2 JOURNEY,45228,JN1CV6APXDM717021,,,,,
,,,,,SOLD,"$16,250 ",FM ENTERPRISE,"1224 Kendrick Ct Corona, CA 92881",(714) 554-4786
158,2014,INFINITI Q50 4X2 V6,19117,JN1BV7AP2EM683224,,,,,
,,,,,Bid,"$24,250 ",SOUTHWEST AUTO CENTER INC,"9848 Southwest Fwy, Houston, TX 77074, United States",713-777-5403
,,,,,Bid,"$24,500 ",CREST INFINITI,"2501 N Central Expy Plano, TX 75075",(469) 808-1880
,,,,,SOLD,"$24,500 ",CREST INFINITI,"2501 N Central Expy Plano, TX 75075",(469) 808-1880
159,2013,INFINITI G37 4X2 JOURNEY,23027,JN1CV6EKXDM921431,,,,,
,,,,,SOLD,"$23,750 ",METRO INFINITI INC,"821 E Central Ave Monrovia, CA 91016",(626) 303-1000
160,2013,INFINITI JX35 FWD,47974,5N1AL0MN4DC332735,,,,,
,,,,,SOLD,"$24,000 ",CARMAX # 7129,"6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667
161,2014,INFINITI Q50 4X2 V6 PREMIUM,17144,JN1BV7AP8EM680666,,,,,
,,,,,Bid,"$21,000 ",INFINITI OF GWINNETT,"3090 Satellite Blvd Duluth, GA 30096",(678) 534-7471
,,,,,Bid,"$24,000 ",ST CLAIRE CADILLAC/ ST CLAIRE OLDSMOBILE,"3737 Stevens Creek Blvd, Santa Clara, CA 95051, United States",844-283-1827
,,,,,Bid,"$21,500 ",AUTOFLEX LEASING,"558 South Central Expressway, Richardson, Texas 75080",972-234-1234
,,,,,Bid,"$24,500 ",AUTONATION INFINITI SOUTH BAY,"3233 Pacific Coast Hwy Torrance, CA 90505",(424) 245-0985
,,,,,SOLD,"$24,750 ",METRO INFINITI INC,"821 E Central Ave Monrovia, CA 91016",(626) 303-1000
162,2012,INFINITI G37 4X2 JOURNEY,59214,JN1CV6EK4CM420016,,,,,
,,,,,Bid,"$15,250 ",DONOHOO AUTO LLC,"8122 Helena Rd, Pelham, AL 35124, United States",205-444-9333
,,,,,SOLD,"$15,250 ",ALLIANCE AUTOMOTIVE MARKETING,NA,NA
163,2014,INFINITI Q50 4X2 V6,22362,JN1BV7AP6EM690399,,,,,
,,,,,Bid,"$21,250 ",CADILLAC OF LAS VEGAS WEST,"5185 W. Sahara Ave Las Vegas, NV 89146",(855) 935-0799
,,,,,Bid,"$21,500 ",SC CAR ZONE,"2901 Harbor Blvd Costa Mesa, CA 92626",(866) 656-7198
,,,,,SOLD,"$21,500 ",SC CAR ZONE,"2901 Harbor Blvd Costa Mesa, CA 92626",(866) 656-7198
164,2014,INFINITI QX80 4X4,23742,JN8AZ2NC6E9352967,,,,,
,,,,,Bid,"$55,500 ",INFINITI OF GWINNETT,"3090 Satellite Blvd Duluth, GA 30096",(678) 534-7471
,,,,,Bid,"$54,500 ",AUDI OF TACOMA,"1701 Alexander Ave E, Fife, WA 98424, United States",253-475-3832
,,,,,SOLD,"$55,500 ",INFINITI OF GWINNETT,"3090 Satellite Blvd Duluth, GA 30096",(678) 534-7471
165,2010,INFINITI G37 4X2 JOURNEY,55008,JN1CV6AP1AM403754,,,,,
,,,,,Bid,"$14,250 ",SOUTHWEST AUTO CENTER INC,"9848 Southwest Fwy, Houston, TX 77074, United States",713-777-5403
,,,,,Bid,"$15,500 ",DONOHOO AUTO LLC,"8122 Helena Rd, Pelham, AL 35124, United States",205-444-9333
,,,,,Bid,"$15,000 ",GLENDALE INFINITI,"812 S Brand Blvd, Glendale, CA 91204, United States",818-201-2637
,,,,,SOLD,"$15,750 ",FRONTIER INFINITI,"4355 Stevens Creek Blvd Santa Clara, CA 95051",(408) 243-4355
166,2014,INFINITI Q50 4X2 V6,11399,JN1BV7AP9EM676609,,,,,
,,,,,Bid,"$23,750 ",NAPA NISSAN INC,"510 Soscol Ave Napa, CA 94559",(707) 253-1551
,,,,,Bid,"$24,000 ",INFINITI OF THOUSAND OAKS,"3570 Thousand Oaks Blvd THOUSAND OAKS, CA 91362",(805) 494-1200
,,,,,SOLD,"$24,000 ",INFINITI OF THOUSAND OAKS,"3570 Thousand Oaks Blvd THOUSAND OAKS, CA 91362",(805) 494-1200
167,2013,INFINITI G37 4X2 JOURNEY,23442,JN1CV6EK4DM900834,,,,,
,,,,,Bid,"$25,000 ",INFINITI OF OAKLAND,"2801 Broadway, Oakland, CA 94611, United States",855-314-9838
,,,,,Bid,"$24,250 ",CARSMITH MOTORS,"48995 Milmont Dr Fremont, CA 94538",(510) 770-9790
,,,,,SOLD,"$25,000 ",INFINITI OF OAKLAND,"2801 Broadway, Oakland, CA 94611, United States",855-314-9838
168,2013,INFINITI JX35 AWD,2063,5N1AL0MM3DC330255,,,,,
,,,,,Bid,"$32,000 ",INFINITI OF OAKLAND,"2801 Broadway, Oakland, CA 94611, United States",855-314-9838
,,,,,Bid,"$31,500 ",INFINITI OF GWINNETT,"3090 Satellite Blvd Duluth, GA 30096",(678) 534-7471
,,,,,Bid,"$32,500 ",COULTER INFINITI,"6225 E Test Dr, Mesa, AZ 85206, United States",480-396-1500
,,,,,SOLD,"$32,500 ",COULTER INFINITI,"6225 E Test Dr, Mesa, AZ 85206, United States",480-396-1500
169,2013,INFINITI G37 4X2 JOURNEY,27937,JN1CV6AP7DM711144,,,,,
,,,,,SOLD,"$17,750 ",CARMAX # 7129,"6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667
170,2014,INFINITI Q50 4X2 V6,16358,JN1BV7AP8EM685026,,,,,
,,,,,Bid,"$23,750 ",ST CLAIRE CADILLAC/ ST CLAIRE OLDSMOBILE,"3737 Stevens Creek Blvd, Santa Clara, CA 95051, United States",844-283-1827
,,,,,Bid,"$23,500 ",SOUTHWEST AUTO CENTER INC,"9848 Southwest Fwy, Houston, TX 77074, United States",713-777-5403
171,2012,INFINITI G37 4X2 BASE,16467,JN1CV6FE5CM203518,,,,,
,,,,,Bid,"$24,750 ",CARSMITH MOTORS,"48995 Milmont Dr Fremont, CA 94538",(510) 770-9790
,,,,,Bid,"$25,250 ",INFINITI OF THOUSAND OAKS,"3570 Thousand Oaks Blvd THOUSAND OAKS, CA 91362",(805) 494-1200
,,,,,SOLD,"$25,250 ",INFINITI OF THOUSAND OAKS,"3570 Thousand Oaks Blvd THOUSAND OAKS, CA 91362",(805) 494-1200
172,2013,INFINITI M37 4X2,18844,JN1BY1AP6DM510325,,,,,
,,,,,Bid,"$26,250 ",AUTOFLEX LEASING,"558 South Central Expressway, Richardson, Texas 75080",972-234-1234
,,,,,SOLD,"$26,250 ",AUTOFLEX LEASING,"558 South Central Expressway, Richardson, Texas 75080",972-234-1234
173,2013,INFINITI JX35 AWD,26671,5N1AL0MM0DC326289,,,,,
,,,,,SOLD,"$32,000 ",CARMAX # 7129,"6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667
174,2013,INFINITI G37 4X2 JOURNEY,23607,JN1CV6AP6DM724600,,,,,
,,,,,Bid,"$20,000 ",SC CAR ZONE,"2901 Harbor Blvd Costa Mesa, CA 92626",(866) 656-7198
,,,,,Bid,"$20,500 ",GLENDALE INFINITI,"812 S Brand Blvd, Glendale, CA 91204, United States",818-201-2637
,,,,,SOLD,"$20,250 ",CERRITOS INFINITI INC,"11011 East South Street Cerritos, CA 90703",(562) 219-2500
175,2015,INFINITI Q70 AWD V6,1510,JN1BY1ARXFM562707,,,,,
,,,,,Bid,"$39,000 ",INFINITI OF GWINNETT,"3090 Satellite Blvd Duluth, GA 30096",(678) 534-7471
,,,,,Bid,"$39,500 ",MOTOR WERKS OF BARRINGTON INC,"1475 S Barrington Rd Barrington, IL 60010",(847) 497-8669
176,2013,INFINITI FX37 4X2,30837,JN8CS1MU2DM140323,,,,,
,,,,,Bid,"$28,750 ",PLANET NISSAN,"735 Showcase Dr S, San Bernardino, CA, 92408",(909) 885-3883
,,,,,Bid,"$30,250 ",AUTONATION INFINITI SOUTH BAY,"3233 Pacific Coast Hwy Torrance, CA 90505",(424) 245-0985
,,,,,Bid,"$29,500 ",GLENDALE INFINITI,"812 S Brand Blvd, Glendale, CA 91204, United States",818-201-2637
,,,,,Bid,"$30,500 ",CREST INFINITI,"2501 N Central Expy Plano, TX 75075",(469) 808-1880
,,,,,SOLD,"$30,500 ",INFINITI OF VAN NUYS,"5455 Van Nuys Blvd Van Nuys, CA 91401",(866) 554-4870
177,2013,INFINITI G37 4X2 JOURNEY,16771,JN1CV6AP7DM305008,,,,,
,,,,,Bid,"$21,000 ",INFINITI OF OAKLAND,"2801 Broadway, Oakland, CA 94611, United States",855-314-9838
,,,,,Bid,"$20,500 ",620 MOTORSPORTS,NA,NA
,,,,,SOLD,"$21,000 ",INFINITI OF OAKLAND,"2801 Broadway, Oakland, CA 94611, United States",855-314-9838
178,2014,INFINITI Q50 4X2 V6,21427,JN1BV7AP2EM680954,,,,,
,,,,,Bid,"$21,000 ",SC CAR ZONE,"2901 Harbor Blvd Costa Mesa, CA 92626",(866) 656-7198
,,,,,Bid,"$21,250 ",CADILLAC OF LAS VEGAS WEST,"5185 W. Sahara Ave Las Vegas, NV 89146",(855) 935-0799
,,,,,SOLD,"$21,250 ",CADILLAC OF LAS VEGAS WEST,"5185 W. Sahara Ave Las Vegas, NV 89146",(855) 935-0799
179,2015,INFINITI Q50 4X2 V6 SPORT,10610,JN1BV7AP8FM339723,,,,,
,,,,,Bid,"$31,000 ",CREST INFINITI,"2501 N Central Expy Plano, TX 75075",(469) 808-1880
,,,,,SOLD,"$31,000 ",CREST INFINITI,"2501 N Central Expy Plano, TX 75075",(469) 808-1880
180,2013,INFINITI G37 4X2 JOURNEY,29064,JN1CV6AP5DM717282,,,,,
,,,,,Bid,"$20,000 ",SC CAR ZONE,"2901 Harbor Blvd Costa Mesa, CA 92626",(866) 656-7198
,,,,,Bid,"$20,250 ",DONOHOO AUTO LLC,"8122 Helena Rd, Pelham, AL 35124, United States",205-444-9333
,,,,,SOLD,"$20,250 ",DONOHOO AUTO LLC,"8122 Helena Rd, Pelham, AL 35124, United States",205-444-9333
181,2014,INFINITI Q50 4X2 V6,28879,JN1BV7AP3EM684382,,,,,
,,,,,Bid,"$22,000 ",NAPA NISSAN INC,"510 Soscol Ave Napa, CA 94559",(707) 253-1551
,,,,,SOLD,"$22,000 ",NAPA NISSAN INC,"510 Soscol Ave Napa, CA 94559",(707) 253-1551
182,2013,INFINITI JX35 FWD,31354,5N1AL0MN3DC319992,,,,,
,,,,,Bid,"$26,750 ",SC CAR ZONE,"2901 Harbor Blvd Costa Mesa, CA 92626",(866) 656-7198
,,,,,SOLD,"$26,750 ",SC CAR ZONE,"2901 Harbor Blvd Costa Mesa, CA 92626",(866) 656-7198
183,2013,INFINITI G37 4X2 JOURNEY,26295,JN1CV6EK0DM920594,,,,,
,,,,,SOLD,"$21,500 ",KARMART CHRYSLER JEEP DODGE,"660 Auto Blvd Burlington, WA 98233",(360) 757-2273
184,2014,INFINITI Q50 4X2 V6 PREMIUM,27285,JN1BV7APXEM684203,,,,,
,,,,,SOLD,"$23,500 ",ORANGE COAST INFINITI,"15550 Beach Blvd Westminster, CA 92683",(877) 908-8811
185,2013,INFINITI G37 4X2 JOURNEY,31066,JN1CV6AP8DM711069,,,,,
,,,,,Bid,"$16,750 ",A & M MOTORCARS,407 W 6 Dr MesaMaricopaAZ85210-2313,(480) 834 7813
,,,,,SOLD,"$17,000 ",CARMAX # 7129,"6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667
186,2014,INFINITI QX60 FWD 4C HYBRID,21109,5N1CL0MN5EC507813,,,,,
,,,,,Bid,"$32,500 ",INFINITI OF GWINNETT,"3090 Satellite Blvd Duluth, GA 30096",(678) 534-7471
,,,,,SOLD,"$33,000 ",ORANGE COAST INFINITI,"15550 Beach Blvd Westminster, CA 92683",(877) 908-8811
187,2013,INFINITI G37 4X2 JOURNEY,30107,JN1CV6AP7DM300651,,,,,
,,,,,Bid,"$19,500 ",620 MOTORSPORTS,NA,NA
,,,,,Bid,"$19,750 ",INFINITI OF OAKLAND,"2801 Broadway, Oakland, CA 94611, United States",855-314-9838
,,,,,SOLD,"$19,750 ",INFINITI OF OAKLAND,"2801 Broadway, Oakland, CA 94611, United States",855-314-9838
188,2013,INFINITI G37 4X2 JOURNEY,17543,JN1CV6AP0DM722762,,,,,
,,,,,Bid,"$18,500 ",JERSEY AUTO,"5639 N Jersey Ave Chicago, IL 60659",(773) 588-2855
189,2012,INFINITI M37 4X2,24758,JN1BY1AP0CM335553,,,,,
,,,,,Bid,"$23,000 ",INFINITI OF GWINNETT,"3090 Satellite Blvd Duluth, GA 30096",(678) 534-7471
,,,,,SOLD,"$25,750 ",FRONTIER INFINITI,"4355 Stevens Creek Blvd Santa Clara, CA 95051",(408) 243-4355
190,2014,INFINITI Q50 4X2 V6,24724,JN1BV7AP5EM684013,,,,,
,,,,,Bid,"$22,250 ",SC CAR ZONE,"2901 Harbor Blvd Costa Mesa, CA 92626",(866) 656-7198
,,,,,Bid,"$22,500 ","AUSTIN EAUTOS, INC.","16809 Calply Dr Round Rock, TX 78664",(512) 252-1777
,,,,,SOLD,"$22,250 ",SC CAR ZONE,"2901 Harbor Blvd Costa Mesa, CA 92626",(866) 656-7198
191,2013,INFINITI G37 4X2 JOURNEY,15701,JN1CV6EK8DM900965,,,,,
,,,,,Bid,"$24,250 ",PLANET NISSAN,"735 Showcase Dr S, San Bernardino, CA, 92408",(909) 885-3883
,,,,,SOLD,"$24,500 ",INFINITI OF VAN NUYS,"5455 Van Nuys Blvd Van Nuys, CA 91401",(866) 554-4870
192,2013,INFINITI EX37 4X2 JOURNEY,20729,JN1BJ0HP0DM430507,,,,,
,,,,,Bid,"$25,000 ",INFINITI OF GWINNETT,"3090 Satellite Blvd Duluth, GA 30096",(678) 534-7471
,,,,,SOLD,"$27,500 ",INFINITI OF VAN NUYS,"5455 Van Nuys Blvd Van Nuys, CA 91401",(866) 554-4870
193,2013,INFINITI JX35 FWD,38512,5N1AL0MN2DC337920,,,,,
,,,,,Bid,"$23,500 ",SC CAR ZONE,"2901 Harbor Blvd Costa Mesa, CA 92626",(866) 656-7198
,,,,,Bid,"$25,500 ",GLOBAL MOTOR SPORTS INC,"5212 Harding Pike Nashville, TN 37205",615-353-9333
,,,,,Bid,"$25,750 ",AUTO ONE,"1236 Soquel Ave Santa Cruz, CA 95062",(831) 427-2700
,,,,,SOLD,"$25,750 ",AUTO ONE,"1236 Soquel Ave Santa Cruz, CA 95062",(831) 427-2700
194,2012,INFINITI G37 4X2 BASE,25720,JN1CV6FEXCM200937,,,,,
,,,,,Bid,"$24,750 ",CARSMITH MOTORS,"48995 Milmont Dr Fremont, CA 94538",(510) 770-9790
,,,,,Bid,"$24,000 ",INFINITI OF THOUSAND OAKS,"3570 Thousand Oaks Blvd THOUSAND OAKS, CA 91362",(805) 494-1200
,,,,,SOLD,"$25,750 ",INFINITI OF BEVERLY HILLS,"8825 Wilshire Blvd, Beverly Hills, CA 90211, United States",844-411-0560
195,2013,INFINITI G37 4X2 JOURNEY,21862,JN1CV6AP2DM711519,,,,,
,,,,,Bid,"$18,750 ",A & M MOTORCARS,407 W 6 Dr MesaMaricopaAZ85210-2313,(480) 834 7813
,,,,,SOLD,"$19,250 ",CARMAX # 7129,"6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667
196,2014,INFINITI Q50 4X2 V6 PREMIUM,18684,JN1BV7AP3EM674080,,,,,
,,,,,Bid,"$24,000 ",ST CLAIRE CADILLAC/ ST CLAIRE OLDSMOBILE,"3737 Stevens Creek Blvd, Santa Clara, CA 95051, United States",844-283-1827
,,,,,SOLD,"$25,000 ",INFINITI OF VAN NUYS,"5455 Van Nuys Blvd Van Nuys, CA 91401",(866) 554-4870
197,2013,INFINITI FX37 4X2,36842,JN8CS1MU2DM140497,,,,,
,,,,,Bid,"$30,500 ",AUTONATION INFINITI SOUTH BAY,"3233 Pacific Coast Hwy Torrance, CA 90505",(424) 245-0985
,,,,,Bid,"$29,500 ",PLANET NISSAN,"735 Showcase Dr S, San Bernardino, CA, 92408",(909) 885-3883
,,,,,Bid,"$30,750 ",GLENDALE INFINITI,"812 S Brand Blvd, Glendale, CA 91204, United States",818-201-2637
,,,,,Bid,"$29,000 ","AUSTIN EAUTOS, INC.","16809 Calply Dr Round Rock, TX 78664",(512) 252-1777
,,,,,SOLD,"$30,750 ",GLENDALE INFINITI,"812 S Brand Blvd, Glendale, CA 91204, United States",818-201-2637
198,2013,INFINITI G37 4X2 JOURNEY,55025,JN1CV6AP8DM710794,,,,,
,,,,,SOLD,"$18,250 ",FM ENTERPRISE,"1224 Kendrick Ct Corona, CA 92881",(714) 554-4786
199,2013,INFINITI JX35 FWD,36468,5N1AL0MN1DC308649,,,,,
